Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
26757514,11/25/2013 10:29:00 PM,11/25/2013 11:41:26 PM,NYPD,New York City Police Department,Drinking,Underage - Licensed Est,Club/Bar/Restaurant,11432,153-33 HILLSIDE AVENUE,HILLSIDE AVENUE,153 STREET,PARSONS BOULEVARD,,,ADDRESS,JAMAICA,,Precinct,Closed,11/26/2013 06:29:00 AM,The Police Department responded to the complaint and took action to fix the condition.,11/25/2013 11:40:47 PM,08 QUEENS,4097060052.0,QUEENS,1038525.0,197029.0,PHONE,Unspecified,QUEENS,,,,,,,,40.707309388050334,-73.8042381909907,"(40.707309388050334, -73.8042381909907)",True,False,False
26921382,12/19/2013 10:36:48 PM,01/04/2014 01:06:49 AM,DCA,Department of Consumer Affairs,Consumer Complaint,Overcharge,,11432.0,153-33 HILLSIDE AVENUE,HILLSIDE AVENUE,153 STREET,PARSONS BOULEVARD,,,ADDRESS,JAMAICA,,,Closed,01/15/2014 09:32:06 AM,"The Department of Consumer Affairs mailed you a complaint form. If you received the form and have not yet completed it, please do so. Be sure to follow the instructions on the form and return it to DCA with all required documentation.     311 can assist those who have not received the complaint form by creating a new Service Request. Additionally, 311 can assist those who returned the form but want to inquire about the status of the filed complaint.",01/04/2014 01:06:49 AM,08 QUEENS,4097060052.0,QUEENS,1038525.0,197029.0,PHONE,Unspecified,QUEENS,,,,,,,,40.707309388050334,-73.8042381909907,"(40.707309388050334, -73.8042381909907)",True,False,False
18813317,10/02/2010 03:36:00 PM,10/02/2010 09:45:00 PM,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,11432.0,153-33 HILLSIDE AVENUE,HILLSIDE AVENUE,153 ST,PARSONS BLVD,,,ADDRESS,Jamaica,,,Closed,,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",10/02/2010 09:45:00 PM,08 QUEENS,4097060052.0,QUEENS,1038525.0,197029.0,UNKNOWN,Unspecified,QUEENS,,,,,,,,40.707309388050334,-73.8042381909907,"(40.707309388050334, -73.8042381909907)",False,False,False
18879566,10/12/2010 12:27:00 PM,10/12/2010 12:40:00 PM,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,11432.0,153-33 HILLSIDE AVENUE,HILLSIDE AVENUE,153 ST,PARSONS BLVD,,,ADDRESS,Jamaica,,,Closed,,"The Department of Environmental Protection has determined that this issue was previously reported by another customer The original complaint is being addressed. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) to submit a new complaint.",10/12/2010 12:40:00 PM,08 QUEENS,4097060052.0,QUEENS,1038525.0,197029.0,UNKNOWN,Unspecified,QUEENS,,,,,,,,40.707309388050334,-73.8042381909907,"(40.707309388050334, -73.8042381909907)",False,False,False
28006188,05/09/2014 12:41:39 AM,05/09/2014 12:56:23 AM,NYPD,New York City Police Department,Drinking,Underage - Licensed Est,Club/Bar/Restaurant,11432.0,153-33 HILLSIDE AVENUE,HILLSIDE AVENUE,153 STREET,PARSONS BOULEVARD,,,ADDRESS,JAMAICA,,Precinct,Closed,05/09/2014 08:41:39 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,05/09/2014 12:56:23 AM,08 QUEENS,4097060052.0,QUEENS,1038525.0,197029.0,PHONE,Unspecified,QUEENS,,,,,,,,40.707309388050334,-73.8042381909907,"(40.707309388050334, -73.8042381909907)",True,True,False
18238419,07/11/2010 09:51:19 PM,08/31/2010 12:00:00 AM,DSNY,Department of Sanitation,Graffiti,Graffiti,Comercial,11432,153-33 HILLSIDE AVENUE,HILLSIDE AVENUE,153 STREET,PARSONS BOULEVARD,,,ADDRESS,Jamaica,,,Closed,,The City has removed the graffiti from this property.,09/02/2010 11:44:01 AM,08 QUEENS,4097060052.0,QUEENS,1038525.0,197029.0,UNKNOWN,Unspecified,QUEENS,,,,,,,,40.707309388050334,-73.8042381909907,"(40.707309388050334, -73.8042381909907)",True,False,False
18315184,07/21/2010 11:07:17 AM,08/06/2010 12:00:00 AM,DSNY,Department of Sanitation,Graffiti,Graffiti,Comercial,11432,153-33 HILLSIDE AVENUE,HILLSIDE AVENUE,153 STREET,PARSONS BOULEVARD,,,ADDRESS,Jamaica,,,Closed,,The City has removed the graffiti from this property.,08/23/2010 12:19:18 PM,08 QUEENS,4097060052.0,QUEENS,1038525.0,197029.0,UNKNOWN,Unspecified,QUEENS,,,,,,,,40.707309388050334,-73.8042381909907,"(40.707309388050334, -73.8042381909907)",True,False,False
21529052,09/05/2011 07:51:13 AM,09/16/2011 12:00:00 AM,DSNY,Department of Sanitation,Graffiti,Graffiti,Comercial,11432.0,153-33 HILLSIDE AVENUE,HILLSIDE AVENUE,153 STREET,PARSONS BOULEVARD,,,ADDRESS,Jamaica,,,Closed,,The City has removed the graffiti from this property.,10/04/2011 03:30:03 PM,08 QUEENS,4097060052.0,QUEENS,1038525.0,197029.0,UNKNOWN,Unspecified,QUEENS,,,,,,,,40.707309388050334,-73.8042381909907,"(40.707309388050334, -73.8042381909907)",True,False,False
22895803,03/16/2012 12:00:00 AM,03/22/2012 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,Parking Lot/Garage,11432.0,153-33 HILLSIDE AVENUE,HILLSIDE AVENUE,153 STREET,PARSONS BOULEVARD,,,ADDRESS,JAMAICA,,,Closed,04/15/2012 11:08:18 AM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,03/22/2012 12:00:00 AM,08 QUEENS,4097060052.0,QUEENS,1038525.0,197029.0,PHONE,Unspecified,QUEENS,,,,,,,,40.707309388050334,-73.8042381909907,"(40.707309388050334, -73.8042381909907)",True,False,False
24522938,12/03/2012 04:58:47 AM,12/17/2012 12:00:00 AM,DSNY,Department of Sanitation,Graffiti,Graffiti,Comercial,11432,153-33 HILLSIDE AVENUE,HILLSIDE AVENUE,153 STREET,PARSONS BOULEVARD,,,ADDRESS,Jamaica,,,Closed,,The City has removed the graffiti from this property.,12/21/2012 11:17:59 AM,08 QUEENS,4097060052.0,QUEENS,1038525.0,197029.0,UNKNOWN,Unspecified,QUEENS,,,,,,,,40.707309388050334,-73.8042381909907,"(40.707309388050334, -73.8042381909907)",True,False,False
