Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
19046027,11/04/2010 06:02:03 AM,01/01/1900 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Smoking,Smoking Violation,Restaurant/Bar/Deli/Bakery,10003.0,322 EAST 14 STREET,EAST 14 STREET,2 AVENUE,1 AVENUE,,,ADDRESS,NEW YORK,,,Assigned,12/11/2010 06:02:03 AM,"The Department of Health and Mental Hygiene has sent official written notification to the Owner/Landlord warning them of potential violations and instructing them to correct the situation.  If the situation persists 21 days after your initial complaint, please make a new complaint.",11/04/2010 03:54:24 PM,03 MANHATTAN,1004550018.0,MANHATTAN,988626.0,205977.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.73203487179824,-73.98421057883495,"(40.732034871798234, -73.98421057883496)",True,False,False
15633280,01/01/2010 04:58:37 AM,01/01/2010 05:29:36 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,Club/Bar/Restaurant,10003,322 EAST 14 STREET,EAST 14 STREET,2 AVENUE,1 AVENUE,,,ADDRESS,NEW YORK,,Precinct,Closed,01/01/2010 12:58:37 PM,,01/01/2010 12:00:00 AM,03 MANHATTAN,1004550018.0,MANHATTAN,988626.0,205977.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.73203487179824,-73.98421057883495,"(40.732034871798234, -73.98421057883496)",True,False,False
17614033,07/09/2010 06:46:31 PM,07/09/2010 08:01:50 PM,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,10003,322 EAST 14 STREET,EAST 14 STREET,2 AVENUE,1 AVENUE,,,ADDRESS,NEW YORK,,Precinct,Closed,07/10/2010 02:46:31 AM,,07/09/2010 12:00:00 AM,03 MANHATTAN,1004550018.0,MANHATTAN,988626.0,205977.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.73203487179824,-73.98421057883495,"(40.732034871798234, -73.98421057883496)",False,False,False
19518301,01/03/2011 03:06:13 AM,01/03/2011 04:41:16 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10003.0,322 EAST 14 STREET,EAST 14 STREET,2 AVENUE,1 AVENUE,,,ADDRESS,NEW YORK,,Precinct,Closed,01/03/2011 11:06:13 AM,The Police Department responded to the complaint and took action to fix the condition.,01/03/2011 04:41:16 AM,03 MANHATTAN,1004550018.0,MANHATTAN,988626.0,205977.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.73203487179824,-73.98421057883495,"(40.732034871798234, -73.98421057883496)",True,False,False
20984387,08/06/2011 04:30:13 PM,08/06/2011 09:11:48 PM,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10003,322 EAST 14 STREET,EAST 14 STREET,2 AVENUE,1 AVENUE,,,ADDRESS,NEW YORK,,Precinct,Closed,08/07/2011 12:30:13 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,08/06/2011 09:11:48 PM,03 MANHATTAN,1004550018.0,MANHATTAN,988626.0,205977.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.73203487179824,-73.98421057883495,"(40.732034871798234, -73.98421057883496)",True,False,False
22768578,02/25/2012 01:16:16 AM,02/25/2012 01:54:27 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10003,322 EAST 14 STREET,EAST 14 STREET,2 AVENUE,1 AVENUE,,,ADDRESS,NEW YORK,,Precinct,Closed,02/25/2012 09:16:16 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,02/25/2012 01:54:27 AM,03 MANHATTAN,1004550018.0,MANHATTAN,988626.0,205977.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.73203487179824,-73.98421057883495,"(40.732034871798234, -73.98421057883496)",True,True,False
23024121,04/08/2012 10:26:45 PM,04/08/2012 10:55:49 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10003.0,322 EAST 14 STREET,EAST 14 STREET,2 AVENUE,1 AVENUE,,,ADDRESS,NEW YORK,,Precinct,Closed,04/09/2012 06:26:45 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,04/08/2012 10:55:49 PM,03 MANHATTAN,1004550018.0,MANHATTAN,988626.0,205977.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.73203487179824,-73.98421057883495,"(40.732034871798234, -73.98421057883496)",True,True,False
23142850,04/29/2012 11:26:52 PM,04/30/2012 01:34:02 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10003,322 EAST 14 STREET,EAST 14 STREET,2 AVENUE,1 AVENUE,,,ADDRESS,NEW YORK,,Precinct,Closed,04/30/2012 07:26:52 AM,The Police Department responded to the complaint and took action to fix the condition.,04/30/2012 01:34:02 AM,03 MANHATTAN,1004550018.0,MANHATTAN,988626.0,205977.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.73203487179824,-73.98421057883495,"(40.732034871798234, -73.98421057883496)",True,True,False
23214882,05/12/2012 01:53:24 AM,05/12/2012 05:25:52 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,Club/Bar/Restaurant,10003.0,322 EAST 14 STREET,EAST 14 STREET,2 AVENUE,1 AVENUE,,,ADDRESS,NEW YORK,,Precinct,Closed,05/12/2012 09:53:24 AM,The Police Department responded to the complaint and took action to fix the condition.,05/12/2012 05:25:52 AM,03 MANHATTAN,1004550018.0,MANHATTAN,988626.0,205977.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.73203487179824,-73.98421057883495,"(40.732034871798234, -73.98421057883496)",True,True,False
23792135,08/13/2012 10:14:53 AM,12/08/2012 12:00:00 AM,DOB,Department of Buildings,General Construction/Plumbing,Egress - Doors Locked/Blocked/Improper/No Secondary Means,,10003,322 EAST 14 STREET,EAST 14 STREET,2 AVENUE,1 AVENUE,,,ADDRESS,NEW YORK,,,Closed,,The Department of Buildings investigated this complaint and determined that no further action was necessary.,12/08/2012 12:00:00 AM,03 MANHATTAN,1004550018.0,MANHATTAN,988626.0,205977.0,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.73203487179824,-73.98421057883495,"(40.732034871798234, -73.98421057883496)",True,True,True
